Artikelen                                ,FIELD2  ,FIELD3                     ,FIELD4,FIELD5    ,FIELD6      ,FIELD7      ,FIELD8  ,FIELD9    ,FIELD10           ,FIELD11       ,FIELD12      ,FIELD13
Tijdstip geëxporteerd: 11-9-2018 10:57:49,        ,                           ,      ,          ,            ,            ,        ,          ,                  ,              ,             ,
A.Omschrijving                           ,A.Nummer,Tekst                      ,Aantal,Prijs     ,Bedrag incl.,Bedrag excl.,BTW-code,BTW-tarief,Kortingspercentage,Kortingsbedrag,Omzetgroepnr.,Omzetgroep
Vis van de markt                         ,287     ,Vis van de markt           ,204   ,"18,50"   ,"3.774,00"  ,"3.560,14"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Vis van de markt                         ,287     ,Vis van de markt           ,139   ,"19,00"   ,"2.641,00"  ,"2.491,19"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Rode curry                               ,288     ,Rode curry                 ,100   ,"17,00"   ,"1.700,00"  ,"1.603,99"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Ravioli                                  ,289     ,Ravioli                    ,126   ,"18,50"   ,"2.331,00"  ,"2.198,82"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Kaasfondue                               ,290     ,Kaasfondue                 ,94    ,"18,00"   ,"1.692,00"  ,"1.596,12"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Pasta Bolognese                          ,291     ,Pasta Bolognese            ,7     ,"7,00"    ,"49,00"     ,"46,20"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Kipnuggets                               ,292     ,Kipnuggets                 ,21    ,"7,00"    ,"147,00"    ,"138,62"    ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Frikadel                                 ,293     ,Frikadel                   ,13    ,"7,00"    ,"91,00"     ,"85,81"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Hamburger                                ,294     ,Hamburger                  ,10    ,"7,00"    ,"70,00"     ,"66,00"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Stokje Saté kids                         ,295     ,Stokje Saté kids           ,4     ,"9,50"    ,"38,00"     ,"35,84"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Kipschnitzel                             ,296     ,Kipschnitzel               ,2     ,"9,50"    ,"19,00"     ,"17,92"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Zalm kids                                ,297     ,Zalm kids                  ,9     ,"9,50"    ,"85,50"     ,"80,64"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Spare-Ribs kids                          ,298     ,Spare-Ribs kids            ,10    ,"9,50"    ,"95,00"     ,"89,60"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Biefstuk                                 ,299     ,Biefstuk                   ,0     ,"18,50"   ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,24           ,Hoofgerechten Bokkesteeg
Zalmfilet                                ,305     ,Zalmfilet                  ,0     ,"18,50"   ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,24           ,Hoofgerechten Bokkesteeg
Saté                                     ,308     ,Saté                       ,0     ,"16,50"   ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,24           ,Hoofgerechten Bokkesteeg
Klassiek                                 ,319     ,Klassiek                   ,191   ,"7,50"    ,"1.432,50"  ,"1.351,93"  ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Italiaans                                ,320     ,Italiaans                  ,123   ,"7,50"    ,"922,50"    ,"870,64"    ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Hollands                                 ,321     ,Hollands                   ,97    ,"7,50"    ,"727,50"    ,"686,64"    ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Seizoens                                 ,322     ,Seizoens                   ,26    ,"7,50"    ,"195,00"    ,"184,06"    ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Santpoorts Zooitje                       ,323     ,Santpoorts Zooitje         ,123   ,"10,00"   ,"1.230,00"  ,"1.160,12"  ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Kaasplankje                              ,324     ,Kaasplankje                ,33    ,"10,00"   ,"330,00"    ,"311,22"    ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Kinderijsje                              ,325     ,Kinderijsje                ,36    ,"4,00"    ,"144,00"    ,"135,83"    ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Maandmenu Meierij                        ,333     ,Maandmenu Meierij          ,281   ,"29,50"   ,"8.289,50"  ,"7.820,23"  ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Diversen keuken                          ,339     ,Diversen keuken            ,2     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,2     ,"2,00"    ,"4,00"      ,"3,78"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"2,50"    ,"2,50"      ,"2,36"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"2,75"    ,"2,75"      ,"2,59"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,3     ,"3,00"    ,"9,00"      ,"8,49"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,4     ,"3,50"    ,"14,00"     ,"13,20"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"4,00"    ,"4,00"      ,"3,77"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,5     ,"4,50"    ,"22,50"     ,"21,25"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"5,00"    ,"5,00"      ,"4,72"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,8     ,"5,50"    ,"44,00"     ,"41,52"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"6,00"    ,"6,00"      ,"5,66"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"6,50"    ,"6,50"      ,"6,13"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"7,50"    ,"7,50"      ,"7,08"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"7,50"    ,"7,50"      ,"7,08"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,6     ,"8,50"    ,"51,00"     ,"48,12"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"8,50"    ,"8,50"      ,"8,02"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,7     ,"9,00"    ,"63,00"     ,"59,43"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,4     ,"9,50"    ,"38,00"     ,"35,84"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"9,50"    ,"9,50"      ,"8,96"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"10,00"   ,"10,00"     ,"9,43"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"10,00"   ,"10,00"     ,"9,43"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"10,50"   ,"10,50"     ,"9,91"      ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"10,50"   ,"10,50"     ,"9,91"      ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"14,00"   ,"14,00"     ,"13,21"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,26    ,"14,50"   ,"377,00"    ,"355,68"    ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"14,50"   ,"14,50"     ,"13,68"     ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"16,50"   ,"16,50"     ,"15,57"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"17,00"   ,"17,00"     ,"16,04"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,3     ,"17,50"   ,"52,50"     ,"49,53"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"18,00"   ,"18,00"     ,"16,98"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,24    ,"18,50"   ,"444,00"    ,"418,81"    ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,2     ,"18,50"   ,"37,00"     ,"34,91"     ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"19,00"   ,"19,00"     ,"17,92"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"19,50"   ,"19,50"     ,"18,40"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,9     ,"19,50"   ,"175,50"    ,"165,59"    ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"21,50"   ,"21,50"     ,"20,28"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,4     ,"22,00"   ,"88,00"     ,"83,00"     ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,55    ,"29,50"   ,"1.622,50"  ,"1.530,65"  ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,339     ,Diversen keuken            ,1     ,"29,50"   ,"29,50"     ,"27,83"     ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,339     ,Diversen keuken            ,14    ,"31,50"   ,"441,00"    ,"416,04"    ,1       ,6%        ,"0,00"            ,"0,00"        ,29           ,Diversen Meierij 6%
Diversen keuken                          ,340     ,Diversen keuken            ,1     ,"16,00"   ,"16,00"     ,"15,09"     ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Diversen keuken                          ,340     ,Diversen keuken            ,1     ,"1.035,00","1.035,00"  ,"976,42"    ,1       ,6%        ,"0,00"            ,"0,00"        ,31           ,Diversen Bokkesteeg 6%
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,285   ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,4     ,"5,00"    ,"20,00"     ,"18,87"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,14    ,"5,50"    ,"77,00"     ,"72,65"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,2     ,"6,00"    ,"12,00"     ,"11,32"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,17    ,"6,50"    ,"110,50"    ,"104,21"    ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,2     ,"7,50"    ,"15,00"     ,"14,16"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,1     ,"8,50"    ,"8,50"      ,"8,02"      ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,46    ,"9,50"    ,"437,00"    ,"412,21"    ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Voor                           ,341     ,Maandmenu Voor             ,2     ,"29,50"   ,"59,00"     ,"55,66"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,285   ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,3     ,"9,50"    ,"28,50"     ,"26,89"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,1     ,"17,50"   ,"17,50"     ,"16,51"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,4     ,"18,00"   ,"72,00"     ,"67,92"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,11    ,"18,50"   ,"203,50"    ,"191,98"    ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,2     ,"19,00"   ,"38,00"     ,"35,84"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,75    ,"19,50"   ,"1.462,50"  ,"1.379,84"  ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,3     ,"20,00"   ,"60,00"     ,"56,61"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,2     ,"22,50"   ,"45,00"     ,"42,45"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Hoofd                          ,342     ,Maandmenu Hoofd            ,1     ,"29,50"   ,"29,50"     ,"27,83"     ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Na                             ,343     ,Maandmenu Na               ,289   ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Na                             ,343     ,Maandmenu Na               ,0     ,"5,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Na                             ,343     ,Maandmenu Na               ,17    ,"6,50"    ,"110,50"    ,"104,21"    ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Na                             ,343     ,Maandmenu Na               ,1     ,"7,00"    ,"7,00"      ,"6,60"      ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Maandmenu Na                             ,343     ,Maandmenu Na               ,16    ,"7,50"    ,"120,00"    ,"113,25"    ,1       ,6%        ,"0,00"            ,"0,00"        ,27           ,Maandmenu Meierij
Limonade                                 ,344     ,Limonade                   ,10    ,"1,50"    ,"15,00"     ,"14,17"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
ijs 1 bol                                ,346     ,ijs 1 bol                  ,19    ,"1,50"    ,"28,50"     ,"26,97"     ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
ijs 2 bollen                             ,347     ,ijs 2 bollen               ,25    ,"3,00"    ,"75,00"     ,"70,75"     ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
ijs 3 bollen                             ,348     ,ijs 3 bollen               ,10    ,"4,50"    ,"45,00"     ,"42,50"     ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Brood & kruidenboter                     ,354     ,Brood & kruidenboter       ,9     ,"3,50"    ,"31,50"     ,"29,70"     ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
"Extra frites 3,00"                      ,356     ,"Extra frites 3,00"        ,4     ,"3,00"    ,"12,00"     ,"11,32"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Extra frites                             ,358     ,Extra frites               ,5     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Dame Blanche                             ,360     ,Dame Blanche               ,4     ,"6,00"    ,"24,00"     ,"22,64"     ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Weekschotel BOK                          ,362     ,Weekschotel BOK            ,23    ,"14,50"   ,"333,50"    ,"314,64"    ,1       ,6%        ,"0,00"            ,"0,00"        ,24           ,Hoofgerechten Bokkesteeg
Spare-Ribs                               ,363     ,Spare-Ribs                 ,4     ,"17,00"   ,"68,00"     ,"64,16"     ,1       ,6%        ,"0,00"            ,"0,00"        ,24           ,Hoofgerechten Bokkesteeg
Wijn fles....                            ,364     ,Wijn fles....              ,24    ,"12,50"   ,"300,00"    ,"247,93"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,1     ,"24,50"   ,"24,50"     ,"20,25"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,3     ,"26,00"   ,"78,00"     ,"64,47"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,2     ,"27,00"   ,"54,00"     ,"44,62"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,8     ,"27,50"   ,"220,00"    ,"181,84"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,1     ,"28,50"   ,"28,50"     ,"23,55"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,1     ,"29,50"   ,"29,50"     ,"24,38"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,10    ,"31,50"   ,"315,00"    ,"260,30"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,14    ,"32,50"   ,"455,00"    ,"376,04"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,2     ,"35,00"   ,"70,00"     ,"57,86"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn fles....                            ,364     ,Wijn fles....              ,1     ,"42,50"   ,"42,50"     ,"35,12"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn karaf....                           ,365     ,Wijn karaf....             ,1     ,"17,50"   ,"17,50"     ,"14,46"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn karaf....                           ,365     ,Wijn karaf....             ,5     ,"18,00"   ,"90,00"     ,"74,40"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn karaf....                           ,365     ,Wijn karaf....             ,1     ,"18,50"   ,"18,50"     ,"15,29"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn karaf....                           ,365     ,Wijn karaf....             ,9     ,"19,00"   ,"171,00"    ,"141,30"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn glas....                            ,366     ,Wijn glas....              ,179   ,"5,25"    ,"939,75"    ,"776,85"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Wijn glas....                            ,366     ,Wijn glas....              ,1     ,"7,50"    ,"7,50"      ,"6,20"      ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Alcohol vrije wijn                       ,370     ,Alcohol vrije wijn         ,4     ,"4,75"    ,"19,00"     ,"17,92"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Tomatensap                               ,372     ,Tomatensap                 ,6     ,"2,50"    ,"15,00"     ,"14,16"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Geitenkaas Salade                        ,377     ,Geitenkaas Salade          ,16    ,"9,00"    ,"144,00"    ,"135,84"    ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Geitenkaas Salade                        ,377     ,Geitenkaas Salade          ,11    ,"9,50"    ,"104,50"    ,"98,56"     ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Tropisch                                 ,378     ,Tropisch                   ,46    ,"7,50"    ,"345,00"    ,"325,62"    ,1       ,6%        ,"0,00"            ,"0,00"        ,25           ,Nagerechten Meierij
Asperges & Ham                           ,380     ,Asperges & Ham             ,65    ,"18,50"   ,"1.202,50"  ,"1.134,37"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Asperges & Zalm                          ,381     ,Asperges & Zalm            ,54    ,"22,00"   ,"1.188,00"  ,"1.120,59"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Ceasar Salade kip                        ,384     ,Ceasar Salade kip          ,6     ,"9,50"    ,"57,00"     ,"53,76"     ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Ceasar Salade zalm                       ,385     ,Ceasar Salade zalm         ,14    ,"9,50"    ,"133,00"    ,"125,44"    ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Ceasar Salade zalm                       ,385     ,Ceasar Salade zalm         ,1     ,"14,50"   ,"14,50"     ,"13,68"     ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Ceasar Salade zalm                       ,387     ,Ceasar Salade zalm         ,0     ,"9,50"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,22           ,Voorgerechten Bokkesteeg
Geitenkaas Salade                        ,391     ,Geitenkaas Salade          ,0     ,"9,50"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,22           ,Voorgerechten Bokkesteeg
Seizoens kroketjes                       ,393     ,Seizoens kroketjes         ,31    ,"8,50"    ,"263,50"    ,"248,62"    ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Coca cola FW                             ,395     ,Coca cola FW               ,48    ,"2,50"    ,"120,00"    ,"113,28"    ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Coca cola light FW                       ,396     ,Coca cola light FW         ,9     ,"2,50"    ,"22,50"     ,"21,24"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Spa rood FW                              ,397     ,Spa rood FW                ,29    ,"2,50"    ,"72,50"     ,"68,44"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Spa blauw FW                             ,398     ,Spa blauw FW               ,13    ,"2,50"    ,"32,50"     ,"30,68"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Sinas FW                                 ,399     ,Sinas FW                   ,20    ,"2,50"    ,"50,00"     ,"47,20"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Ice Tea FW                               ,400     ,Ice Tea FW                 ,16    ,"2,50"    ,"40,00"     ,"37,76"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Appelsap FW                              ,401     ,Appelsap FW                ,1     ,"2,50"    ,"2,50"      ,"2,36"      ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Chocomel FW                              ,402     ,Chocomel FW                ,6     ,"2,50"    ,"15,00"     ,"14,16"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Fristi FW                                ,403     ,Fristi FW                  ,7     ,"2,50"    ,"17,50"     ,"16,52"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Appelsap pakje FW                        ,404     ,Appelsap pakje FW          ,23    ,"2,50"    ,"57,50"     ,"54,28"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Caprisun pakje FW                        ,405     ,Caprisun pakje FW          ,1     ,"2,50"    ,"2,50"      ,"2,36"      ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
