Artikelen                                ,FIELD2  ,FIELD3                     ,FIELD4,FIELD5    ,FIELD6      ,FIELD7      ,FIELD8  ,FIELD9    ,FIELD10           ,FIELD11       ,FIELD12      ,FIELD13
Tijdstip geëxporteerd: 11-9-2018 10:57:49,        ,                           ,      ,          ,            ,            ,        ,          ,                  ,              ,             ,
A.Omschrijving                           ,A.Nummer,Tekst                      ,Aantal,Prijs     ,Bedrag incl.,Bedrag excl.,BTW-code,BTW-tarief,Kortingspercentage,Kortingsbedrag,Omzetgroepnr.,Omzetgroep
Dubbele espresso                         ,48      ,Dubbele espresso           ,28    ,"3,50"    ,"98,00"     ,"92,41"     ,1       ,6%        ,"0,00"            ,"0,00"        ,3            ,Warme dranken Meierij
Ierse koffie                             ,49      ,Ierse koffie               ,96    ,"7,50"    ,"720,00"    ,"595,20"    ,2       ,21%       ,"0,00"            ,"0,00"        ,3            ,Warme dranken Meierij
Spaanse koffie                           ,50      ,Spaanse koffie             ,16    ,"7,50"    ,"120,00"    ,"99,20"     ,2       ,21%       ,"0,00"            ,"0,00"        ,3            ,Warme dranken Meierij
Italiaanse koffie                        ,51      ,Italiaanse koffie          ,26    ,"7,50"    ,"195,00"    ,"161,20"    ,2       ,21%       ,"0,00"            ,"0,00"        ,3            ,Warme dranken Meierij
Belgische koffie                         ,52      ,Belgische koffie           ,9     ,"7,50"    ,"67,50"     ,"55,80"     ,2       ,21%       ,"0,00"            ,"0,00"        ,3            ,Warme dranken Meierij
Franse koffie                            ,53      ,Franse koffie              ,30    ,"7,50"    ,"225,00"    ,"186,00"    ,2       ,21%       ,"0,00"            ,"0,00"        ,3            ,Warme dranken Meierij
Kiss of fire                             ,54      ,Kiss of fire               ,32    ,"7,50"    ,"240,00"    ,"198,40"    ,2       ,21%       ,"0,00"            ,"0,00"        ,3            ,Warme dranken Meierij
Jenever                                  ,71      ,Jenever                    ,33    ,"4,00"    ,"132,00"    ,"109,21"    ,2       ,21%       ,"0,00"            ,"0,00"        ,5            ,Binnenlands gedestilleerd Meierij
Corenwijn                                ,74      ,Corenwijn                  ,11    ,"4,00"    ,"44,00"     ,"36,40"     ,2       ,21%       ,"0,00"            ,"0,00"        ,5            ,Binnenlands gedestilleerd Meierij
Bacardi rum                              ,85      ,Bacardi rum                ,5     ,"5,50"    ,"27,50"     ,"22,75"     ,2       ,21%       ,"0,00"            ,"0,00"        ,7            ,Buitenlands gedestilleerd Meierij
Smirnoff vodka                           ,86      ,Smirnoff vodka             ,1     ,"5,50"    ,"5,50"      ,"4,55"      ,2       ,21%       ,"0,00"            ,"0,00"        ,7            ,Buitenlands gedestilleerd Meierij
Bruine rum                               ,87      ,Bruine rum                 ,3     ,"5,50"    ,"16,50"     ,"13,65"     ,2       ,21%       ,"0,00"            ,"0,00"        ,7            ,Buitenlands gedestilleerd Meierij
Malibu                                   ,88      ,Malibu                     ,3     ,"5,50"    ,"16,50"     ,"13,65"     ,2       ,21%       ,"0,00"            ,"0,00"        ,7            ,Buitenlands gedestilleerd Meierij
Campari                                  ,89      ,Campari                    ,1     ,"5,50"    ,"5,50"      ,"4,55"      ,2       ,21%       ,"0,00"            ,"0,00"        ,7            ,Buitenlands gedestilleerd Meierij
Pernod                                   ,90      ,Pernod                     ,1     ,"5,50"    ,"5,50"      ,"4,55"      ,2       ,21%       ,"0,00"            ,"0,00"        ,7            ,Buitenlands gedestilleerd Meierij
Gin                                      ,91      ,Gin                        ,1     ,"5,50"    ,"5,50"      ,"4,55"      ,2       ,21%       ,"0,00"            ,"0,00"        ,7            ,Buitenlands gedestilleerd Meierij
Dimple                                   ,101     ,Dimple                     ,1     ,"5,50"    ,"5,50"      ,"4,55"      ,2       ,21%       ,"0,00"            ,"0,00"        ,9            ,Whiskey Meierij
Glenfiddich                              ,104     ,Glenfiddich                ,3     ,"6,00"    ,"18,00"     ,"14,88"     ,2       ,21%       ,"0,00"            ,"0,00"        ,9            ,Whiskey Meierij
Glenlivet                                ,105     ,Glenlivet                  ,5     ,"5,50"    ,"27,50"     ,"22,75"     ,2       ,21%       ,"0,00"            ,"0,00"        ,9            ,Whiskey Meierij
Jack daniels                             ,106     ,Jack daniels               ,1     ,"5,00"    ,"5,00"      ,"4,13"      ,2       ,21%       ,"0,00"            ,"0,00"        ,9            ,Whiskey Meierij
Tia maria                                ,117     ,Tia maria                  ,11    ,"5,00"    ,"55,00"     ,"45,43"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Grand marnier                            ,118     ,Grand marnier              ,16    ,"5,00"    ,"80,00"     ,"66,08"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Amaretto                                 ,119     ,Amaretto                   ,12    ,"5,00"    ,"60,00"     ,"49,56"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
